
====================================================================================================
MacMahon Formula Verification System v2
Range: 2 to 200,000 | Count: 126 Formulas
====================================================================================================

Step 1: Preparing Formulas... Done.
        M3 Detected. Full calculation enabled.
Step 2: Initializing SPF Sieve... Done (0.12s)

|██████████████████████████████| 100.0% [ETA:   0s] Complete!          

===================================================================================================================
ID              | Status          | FP    | Detected Categories & Symbolic Proof
E5.26           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.27           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.28           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E5.29           | ✅ VALID         | 0     | [5] [SymPy: Verified p^{5}]
E6.1            | ✅ VALID         | 0     | Universal (p^1..p^17) [SymPy: Verified p^{1, 2, 3}]
E6.2            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.3            | ✅ VALID         | 0     | [1, 6] [SymPy: Verified p^{1, 6}]
E6.4            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.5            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.6            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.7            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.8            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.9            | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.10           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.11           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.12           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.13           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.14           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
E6.15           | ✅ VALID         | 0     | [6] [SymPy: Verified p^{6}]
===================================================================================================================
